Sample	SampleSum	WeightedSampleSum	Weight	Entropy
JE_Soil_269	8.14021e+06	5.3014e+06	4.31545e+13	0.00215499
JE_Soil_270	8.07067e+06	5.1198e+06	4.13202e+13	0.00218856
JE_Soil_272	1.76119e+06	821218	1.44632e+12	0.000590208
JE_Soil_273	6.8507e+06	4.3946e+06	3.01061e+13	0.00202399
JE_Soil_274	6.29165e+06	3.91593e+06	2.46376e+13	0.00197868
JE_Soil_276	2.2385e+06	1.09095e+06	2.44209e+12	0.000723752
JE_Soil_278	6.73324e+06	4.21112e+06	2.83545e+13	0.00206676
JE_Soil_279	7.08218e+06	4.37711e+06	3.09995e+13	0.00179751
JE_Soil_280	2.89408e+06	1.49295e+06	4.3207e+12	0.000901155
JE_Soil_281	5.76347e+06	3.55715e+06	2.05015e+13	0.00188511
JE_Soil_282	6.32834e+06	3.87022e+06	2.4492e+13	0.00202532
JE_Soil_283	5.63087e+06	3.27934e+06	1.84655e+13	0.00156901
JE_Soil_284	2.33395e+06	1.11989e+06	2.61377e+12	0.000801518
JE_Soil_285	7.09293e+06	4.56111e+06	3.23516e+13	0.00200656
JE_Soil_286	7.87933e+06	5.07854e+06	4.00155e+13	0.00230668
JE_Soil_287	8.34671e+06	5.32295e+06	4.44291e+13	0.00221239
JE_Soil_288	1.25102e+06	608251	7.60933e+11	0.000489022
JE_Soil_290	5.98136e+06	3.60776e+06	2.15793e+13	0.00189912
JE_Soil_291	7.05317e+06	4.37289e+06	3.08427e+13	0.00194215
JE_Soil_293	7.72293e+06	4.93798e+06	3.81357e+13	0.00221038
JE_Soil_294	1.65703e+07	1.21311e+07	2.01016e+14	0.00389912
JE_Soil_295	6.02941e+06	3.6032e+06	2.17251e+13	0.0018067
JE_Soil_296	3.48064e+06	1.88645e+06	6.56607e+12	0.00114033
JE_Soil_298	1.25668e+07	8.85414e+06	1.11269e+14	0.00309383
JE_Soil_300	4.21015e+06	2.38018e+06	1.00209e+13	0.00126646
JE_Soil_301	1.06514e+07	7.30053e+06	7.77608e+13	0.00278559
JE_Soil_302	1.38758e+07	9.96739e+06	1.38306e+14	0.00352135
JE_Soil_303	5.40248e+06	3.14347e+06	1.69825e+13	0.00145495
JE_Soil_304	3.56685e+06	1.94258e+06	6.9289e+12	0.00109238
JE_Soil_307	6.65883e+06	4.08707e+06	2.72151e+13	0.00178954
JE_Soil_308	4.27306e+06	2.48448e+06	1.06163e+13	0.00124479
JE_Soil_309	8.83724e+06	5.84527e+06	5.1656e+13	0.0025059
JE_Soil_310	7.10834e+06	4.49779e+06	3.19718e+13	0.00214222
JE_Soil_312	2.56144e+06	1.33169e+06	3.41104e+12	0.00086614
JE_Soil_314	8.95575e+06	5.83665e+06	5.22715e+13	0.00260559
JE_Soil_315	3.13776e+06	1.73065e+06	5.43036e+12	0.000999028
JE_Soil_316	4.35044e+06	2.50507e+06	1.08981e+13	0.00127098
JE_Soil_318	8.72156e+06	5.71145e+06	4.98127e+13	0.00249852
JE_Soil_319	5.21358e+06	3.01526e+06	1.57203e+13	0.00149814
JE_Soil_320	3.0623e+06	1.57869e+06	4.83443e+12	0.000989845
